"Frequency (Hz)","|Z| (Ohm)","theta (deg)"
+1.40000000000e+005, +1.34866017316e+002, -8.46819505869e+001
+1.40075000000e+005, +1.33927333043e+002, -8.45945069120e+001
+1.40150000000e+005, +1.32977370412e+002, -8.45039296862e+001
+1.40225000000e+005, +1.32012713082e+002, -8.44111711475e+001
+1.40300000000e+005, +1.31044974237e+002, -8.43145730697e+001
+1.40375000000e+005, +1.30065709387e+002, -8.42165681511e+001
+1.40450000000e+005, +1.29075401573e+002, -8.41127141774e+001
+1.40525000000e+005, +1.28073660036e+002, -8.40072381992e+001
+1.40600000000e+005, +1.27063896016e+002, -8.38967910932e+001
+1.40675000000e+005, +1.26040060945e+002, -8.37837453183e+001
+1.40750000000e+005, +1.25008105964e+002, -8.36674806341e+001
+1.40825000000e+005, +1.23965078530e+002, -8.35467705487e+001
+1.40900000000e+005, +1.22912333796e+002, -8.34224367599e+001
+1.40975000000e+005, +1.21843840137e+002, -8.32935738474e+001
+1.41050000000e+005, +1.20762796423e+002, -8.31618139240e+001
+1.41125000000e+005, +1.19668359787e+002, -8.30239169224e+001
+1.41200000000e+005, +1.18561260710e+002, -8.28816584129e+001
+1.41275000000e+005, +1.17441932134e+002, -8.27348938139e+001
+1.41350000000e+005, +1.16306468697e+002, -8.25834382131e+001
+1.41425000000e+005, +1.15154749047e+002, -8.24253370865e+001
+1.41500000000e+005, +1.13992313973e+002, -8.22601430075e+001
+1.41575000000e+005, +1.12812536942e+002, -8.20870824261e+001
+1.41650000000e+005, +1.11618148728e+002, -8.19103301260e+001
+1.41725000000e+005, +1.10408127204e+002, -8.17220156372e+001
+1.41800000000e+005, +1.09183077263e+002, -8.15272734744e+001
+1.41875000000e+005, +1.07941120082e+002, -8.13233211288e+001
+1.41950000000e+005, +1.06686501100e+002, -8.11117080496e+001
+1.42025000000e+005, +1.05412965734e+002, -8.08888190184e+001
+1.42100000000e+005, +1.04123602777e+002, -8.06571174261e+001
+1.42175000000e+005, +1.02817107297e+002, -8.04133058572e+001
+1.42250000000e+005, +1.01493659415e+002, -8.01585705060e+001
+1.42325000000e+005, +1.00154349410e+002, -7.98906135680e+001
+1.42400000000e+005, +9.87970709236e+001, -7.96102747577e+001
+1.42475000000e+005, +9.74228830204e+001, -7.93146101028e+001
+1.42550000000e+005, +9.60311306307e+001, -7.90050670983e+001
+1.42625000000e+005, +9.46218035671e+001, -7.86792730378e+001
+1.42700000000e+005, +9.31908539158e+001, -7.83371331073e+001
+1.42775000000e+005, +9.17460480188e+001, -7.79743366243e+001
+1.42850000000e+005, +9.02775795976e+001, -7.75929643899e+001
+1.42925000000e+005, +8.87922849011e+001, -7.71903529084e+001
